  260,20170901,  147,   98,  193
  260,20170902,  133,   77,  194
  260,20170903,  130,   57,  200
  260,20170904,  158,   84,  216
  260,20170905,  186,  158,  217
  260,20170906,  159,  136,  183
  260,20170907,  156,  130,  185
  260,20170908,  151,  139,  158
  260,20170909,  132,   82,  177
  260,20170910,  139,   82,  177
  260,20170911,  141,  117,  177
  260,20170912,  146,  122,  183
  260,20170913,  141,  108,  176
  260,20170914,  117,  102,  144
  260,20170915,  125,   97,  164
  260,20170916,  106,   62,  129
  260,20170917,  108,   48,  172
  260,20170918,  120,   74,  162
  260,20170919,  120,   80,  174
  260,20170920,  135,   80,  175
  260,20170921,  134,   89,  186
  260,20170922,  119,   58,  192
  260,20170923,  109,   39,  183
  260,20170924,  121,   45,  204
  260,20170925,  142,   97,  181
  260,20170926,  132,   86,  172
  260,20170927,  136,   66,  202
  260,20170928,  158,  127,  206
  260,20170929,  171,  127,  227
  260,20170930,  131,   77,  157
  260,20171001,  141,   97,  174
  260,20171002,  156,  134,  179
  260,20171003,  136,  118,  164
  260,20171004,  130,  114,  152
  260,20171005,  129,  103,  160
  260,20171006,  116,   95,  150
  260,20171007,  122,  106,  143
  260,20171008,  121,   97,  147
  260,20171009,  121,  101,  134
  260,20171010,  143,  124,  158
  260,20171011,  148,  142,  161
  260,20171012,  134,  108,  161
  260,20171013,  153,  109,  182
  260,20171014,  148,   96,  199
  260,20171015,  158,   93,  221
  260,20171016,  186,  137,  244
  260,20171017,  129,   82,  166
  260,20171018,  137,  104,  186
  260,20171019,  157,  101,  204
  260,20171020,  137,  104,  167
  260,20171021,  132,  104,  175
  260,20171022,  108,   96,  132
  260,20171023,  126,  103,  152
  260,20171024,  153,  130,  171
  260,20171025,  142,   90,  171
  260,20171026,  140,  127,  175
  260,20171027,  118,   99,  144
  260,20171028,  124,   93,  153
  260,20171030,   83,   45,  121
  260,20171031,  101,   82,  112
  260,20171101,  112,   96,  135
  260,20171102,   98,   38,  140
  260,20171103,   88,   34,  124
  260,20171104,  106,   74,  131
  260,20171105,   78,   50,  109
  260,20171106,   48,   -5,  109
  260,20171107,   33,  -13,   98
  260,20171108,   59,   24,   76
  260,20171109,   87,   62,  111
  260,20171110,   92,   58,  118
  260,20171111,   66,   38,   94
  260,20171112,   52,   32,   64
  260,20171113,   62,   10,  103
  260,20171114,   77,   27,   99
  260,20171115,   94,   85,  102
  260,20171116,   93,   62,  107
  260,20171117,   56,    6,  110
  260,20171118,   69,   35,   96
  260,20171119,   67,   44,   99
  260,20171120,   78,   46,  118
  260,20171121,  115,  106,  124
  260,20171122,  114,  105,  133
  260,20171123,  111,   82,  144
  260,20171124,   69,   43,   92
  260,20171125,   37,   -6,   74
  260,20171126,   53,   30,   80
  260,20171127,   67,   47,   91
  260,20171128,   54,   12,   78
  260,20171129,   29,    6,   40
  260,20171130,   15,  -24,   46